filter,rho,mse
BlockSF,8.0,0.39978999189281456
BlockSF,32.0,0.2317074354861279
BlockSF,16.0,0.3165331652697041
DiagSF,1.0,0.7130394012984477
DiagSF,256.0,1.635299509300712e47
DiagSF,32.0,0.2338280413188181
DiagSF,128.0,0.17002219261510892
DiagSF,8.0,0.3946131528093446
DiagSF,64.0,0.18835945408220744
DiagSF,16.0,0.28287378983708167
DiagSF,4.0,0.4814951905486326
BlockSF,4.0,0.5031446559144831
BlockSF,1.0,0.7374801073152554
BlockSF,64.0,0.15842814647045694
BlockSF,32.0,0.23277711200980855
BlockSF,16.0,0.28708866861115334
BlockSF,256.0,NaN
BlockSF,128.0,0.1874430321747628
BlockSF,8.0,0.4035153390527209
DiagSF,32.0,0.248566534606043
DiagSF,8.0,0.3880383642394295
DiagSF,16.0,0.2953745920692255
DiagSF,256.0,NaN
DiagSF,128.0,0.13357992000588617
DiagSF,64.0,0.2306597401377568
DiagSF,1.0,0.7098723367258649
DiagSF,4.0,0.5076177299967285
BlockSF,256.0,NaN
BlockSF,16.0,0.3001812389204173
BlockSF,64.0,0.1998943847641028
BlockSF,1.0,0.7437907844863775
BlockSF,8.0,0.3914085360942669
BlockSF,32.0,0.2466372225611687
BlockSF,4.0,0.5002880096384434
BlockSF,128.0,0.10880740481751822
DiagSF,32.0,0.27277759213448544
DiagSF,8.0,0.3929674416824393
DiagSF,4.0,0.49303676141114333
DiagSF,16.0,0.30285891290789424
DiagSF,128.0,0.17095896542387584
DiagSF,256.0,NaN
DiagSF,1.0,0.7222870295875049
DiagSF,64.0,0.25928425527361204
BlockSF,256.0,NaN
BlockSF,8.0,0.38488363459946123
BlockSF,4.0,0.48376025664378347
BlockSF,16.0,0.30975858810161117
BlockSF,32.0,0.1987229724923749
BlockSF,128.0,0.17144970626586506
BlockSF,64.0,0.14466068653592995
BlockSF,1.0,0.7007003873467069
DiagSF,4.0,0.5126395392250916
DiagSF,128.0,0.21050541675092385
DiagSF,64.0,0.23019539498871375
DiagSF,32.0,0.24930774250223364
DiagSF,1.0,0.7217142809081712
DiagSF,16.0,0.3026828005876232
DiagSF,8.0,0.37217261744023716
DiagSF,256.0,4.727361786415726e62
BlockSF,4.0,0.4930419166931436
BlockSF,128.0,0.19143352385957899
BlockSF,32.0,0.24018321911510182
BlockSF,64.0,0.2036967437328693
BlockSF,16.0,0.2927599203976612
BlockSF,256.0,NaN
BlockSF,1.0,0.7449982821203088
BlockSF,8.0,0.36546022174173787
DiagSF,256.0,NaN
DiagSF,1.0,0.7234491464611204
DiagSF,16.0,0.3145709043127927
DiagSF,128.0,0.224730428628888
DiagSF,32.0,0.26276465630214885
DiagSF,64.0,0.23407887096251498
DiagSF,8.0,0.37412639482013693
DiagSF,4.0,0.4911840319889063
BlockSF,256.0,1.5351531202874002e226
BlockSF,1.0,0.735652324742801
BlockSF,16.0,0.2952633604547305
BlockSF,64.0,0.15666238513865202
BlockSF,128.0,0.20957898555035087
BlockSF,32.0,0.2578498611274801
BlockSF,4.0,0.5150855048040787
BlockSF,8.0,0.401452858181485
DiagSF,8.0,0.3758342867700955
DiagSF,4.0,0.49111511459155227
DiagSF,32.0,0.2169392573177122
DiagSF,64.0,0.1982388481158503
DiagSF,256.0,NaN
DiagSF,128.0,0.2651213580371814
DiagSF,1.0,0.7273554713454385
DiagSF,16.0,0.2899434670977196
BlockSF,64.0,0.18051968159132847
BlockSF,128.0,0.28362991573079754
BlockSF,256.0,NaN
BlockSF,32.0,0.196107541342571
BlockSF,4.0,0.4967196226557709
BlockSF,8.0,0.3654098648837781
BlockSF,1.0,0.7583808226644676
BlockSF,16.0,0.31946342257689064
DiagSF,4.0,0.4832475031851103
DiagSF,16.0,0.29358113693981014
DiagSF,1.0,0.7141712491922674
DiagSF,8.0,0.38768784415660945
DiagSF,128.0,0.29674924835930194
DiagSF,256.0,NaN
DiagSF,64.0,0.16527961077601103
DiagSF,32.0,0.19502209264648263
BlockSF,16.0,0.26846425248604144
BlockSF,256.0,NaN
BlockSF,8.0,0.38819772234165445
BlockSF,4.0,0.4909739299735671
BlockSF,1.0,0.7427663089131107
BlockSF,32.0,0.2146919381800338
BlockSF,128.0,0.13982236906880996
BlockSF,64.0,0.15550091284147333
DiagSF,64.0,0.20856568961109623
DiagSF,8.0,0.37055803247523805
DiagSF,16.0,0.27103465757063216
DiagSF,4.0,0.4963182807270875
DiagSF,256.0,5.6936928430423295e29
DiagSF,1.0,0.7380797950128383
DiagSF,32.0,0.2693291866822526
DiagSF,128.0,0.2590989060441101
BlockSF,64.0,0.20628787067002655
BlockSF,1.0,0.7260098456896157
BlockSF,8.0,0.4008407662783488
BlockSF,32.0,0.24083110860095472
BlockSF,16.0,0.26797742285269943
BlockSF,256.0,NaN
BlockSF,4.0,0.5077806648882306
BlockSF,128.0,0.16096171119169114
DiagSF,64.0,0.23990886505770762
DiagSF,32.0,0.21681941547755915
DiagSF,16.0,0.2788495643655408
DiagSF,128.0,0.25093575745834085
DiagSF,4.0,0.4758046704968009
DiagSF,256.0,6.830131372989345e66
DiagSF,8.0,0.39459558171242953
DiagSF,1.0,0.7501595608016264
BlockSF,128.0,0.21720211406639178
BlockSF,16.0,0.2984230180319021
BlockSF,4.0,0.5034473095237365
BlockSF,32.0,0.20086346852942283
BlockSF,64.0,0.1832529850950189
BlockSF,256.0,NaN
BlockSF,8.0,0.3727429748614612
BlockSF,1.0,0.6930821097280074
DiagSF,16.0,0.2857683856501818
DiagSF,8.0,0.3921793223575564
DiagSF,256.0,NaN
DiagSF,128.0,0.20645168080953702
DiagSF,4.0,0.49977082780132104
DiagSF,64.0,0.2194855228154692
DiagSF,1.0,0.7118809850968063
DiagSF,32.0,0.22418683529139818
BlockSF,16.0,0.3056447217825694
BlockSF,8.0,0.3865498733559001
BlockSF,128.0,0.08281462001735922
BlockSF,256.0,1.57583483761621e44
BlockSF,4.0,0.4896727882667468
BlockSF,1.0,0.7169734385121334
BlockSF,64.0,0.20712992399362143
BlockSF,32.0,0.23004374634242453
DiagSF,128.0,0.2621899959020712
DiagSF,16.0,0.2867033356597129
DiagSF,8.0,0.3899759417496914
DiagSF,4.0,0.4871096031703957
DiagSF,32.0,0.26286118439856787
DiagSF,256.0,5.974790212812293e164
DiagSF,1.0,0.7252251820594859
DiagSF,64.0,0.22124645790336334
BlockSF,128.0,0.0970461356565385
BlockSF,16.0,0.3179889585203877
BlockSF,32.0,0.19790450696398285
BlockSF,256.0,NaN
BlockSF,4.0,0.4898945428573357
BlockSF,8.0,0.39905181434282705
BlockSF,1.0,0.7270642055283815
BlockSF,64.0,0.15503269684613885
DiagSF,4.0,0.49128424642641993
DiagSF,64.0,0.2307892721745536
DiagSF,16.0,0.29050891036274035
