filter,eta,sparse_input,beta,dim,mse
GradientRule,0.0078125,false,0.05,32,0.9351045752512256
GradientRule,0.0078125,false,0.07071067811865475,16,0.864313077676856
GradientRule,0.0078125,true,0.1,32,1.0029389503071389
GradientRule,0.0078125,false,0.035355339059327376,64,0.9334912958696785
GradientRule,0.0078125,true,0.1,16,0.9222194844914641
GradientRule,0.0078125,true,0.1,64,1.010830039654842
GradientRule,0.0078125,false,0.025,128,0.985331210710785
GradientRule,0.0078125,true,0.1,128,1.0036344838429532
GradientRule,0.0078125,false,0.017677669529663688,256,0.9811638929355909
GradientRule,0.0078125,true,0.1,256,0.9629184796756572
GradientRule,0.0078125,false,0.0125,512,1.0074392049399254
GradientRule,0.0078125,true,0.1,512,1.0100885675041695
GradientRule,0.0078125,false,0.008838834764831844,1024,1.0042749871700953
GradientRule,0.0078125,true,0.1,1024,1.0020158538768928
GradientRule,0.0078125,false,0.00625,2048,0.9973606620789872
GradientRule,0.0078125,true,0.1,2048,1.0039204978108387
GradientRule,0.00390625,false,0.1,8,0.9683909478120981
GradientRule,0.00390625,true,0.1,8,0.9595061577245351
GradientRule,0.00390625,false,0.05,32,0.9721066625373853
GradientRule,0.00390625,false,0.07071067811865475,16,0.9094708882065624
GradientRule,0.00390625,true,0.1,32,0.9722815262982715
GradientRule,0.00390625,false,0.035355339059327376,64,0.9932177840811839
GradientRule,0.00390625,true,0.1,16,0.9925620092310831
GradientRule,0.00390625,true,0.1,64,1.0082207634410336
GradientRule,0.00390625,false,0.025,128,0.9612653919910158
GradientRule,0.00390625,true,0.1,128,1.0038427931710077
GradientRule,0.00390625,false,0.017677669529663688,256,1.0015591184246107
GradientRule,0.00390625,true,0.1,256,1.005471267263863
GradientRule,0.00390625,false,0.0125,512,0.9906941669287415
GradientRule,0.00390625,true,0.1,512,1.0101520101594033
GradientRule,0.00390625,false,0.008838834764831844,1024,0.9982029767336886
GradientRule,0.00390625,true,0.1,1024,1.003867757533261
GradientRule,0.00390625,false,0.00625,2048,0.9981168127517288
GradientRule,0.00390625,true,0.1,2048,0.9929561945454884
GradientRule,0.001953125,false,0.1,8,0.9223856769676768
GradientRule,0.001953125,true,0.1,8,0.9472423692517027
GradientRule,0.001953125,false,0.05,32,0.9555302941791799
GradientRule,0.001953125,false,0.07071067811865475,16,0.9842061914122172
GradientRule,0.001953125,true,0.1,32,0.9662321911373428
GradientRule,0.001953125,true,0.1,16,0.9122788956952733
GradientRule,0.001953125,false,0.035355339059327376,64,0.9945910263776628
GradientRule,0.001953125,true,0.1,64,0.9144951662462191
GradientRule,0.001953125,false,0.025,128,0.9815842437077271
GradientRule,0.001953125,true,0.1,128,0.9797846620392904
GradientRule,0.001953125,false,0.017677669529663688,256,1.0136918284971321
GradientRule,0.001953125,false,0.0125,512,0.9824834410034101
GradientRule,0.001953125,true,0.1,256,0.9753729232096456
GradientRule,0.001953125,false,0.008838834764831844,1024,0.9978395427416659
GradientRule,0.001953125,true,0.1,512,1.0181581532955635
GradientRule,0.001953125,false,0.00625,2048,0.9955395340126227
GradientRule,0.001953125,true,0.1,1024,0.9981923270629769
GradientRule,0.001953125,true,0.1,2048,1.008816755402456
GradientRule,1.0,false,0.1,8,0.5517293371920713
GradientRule,1.0,true,0.1,8,0.5483134171202579
GradientRule,1.0,false,0.05,32,0.6769868316008785
GradientRule,1.0,false,0.07071067811865475,16,0.580717507899725
GradientRule,1.0,true,0.1,32,1.5133566009965078
GradientRule,1.0,true,0.1,16,0.8046273699803314
GradientRule,1.0,false,0.035355339059327376,64,0.7706340163162323
GradientRule,1.0,true,0.1,64,2.1342923837782695
GradientRule,1.0,false,0.025,128,0.9649958608711823
GradientRule,1.0,true,0.1,128,2.4928951735461364
GradientRule,1.0,false,0.017677669529663688,256,1.0883087482694922
GradientRule,1.0,false,0.0125,512,1.2908926420192692
GradientRule,1.0,true,0.1,256,2.199550446696387
GradientRule,1.0,false,0.008838834764831844,1024,1.3604826975731807
GradientRule,1.0,true,0.1,512,1.8756856048697517
GradientRule,1.0,false,0.00625,2048,1.363119178373887
GradientRule,1.0,true,0.1,1024,1.2907157284087314
GradientRule,1.0,true,0.1,2048,1.0614680803149743
GradientRule,0.5,false,0.1,8,0.32317124971513195
GradientRule,0.5,true,0.1,8,0.3523960029628399
GradientRule,0.5,false,0.05,32,0.5560004765107065
GradientRule,0.5,false,0.07071067811865475,16,0.40324419074512124
GradientRule,0.5,true,0.1,32,1.3388563448248645
GradientRule,0.5,true,0.1,16,0.6087290600622889
GradientRule,0.5,false,0.035355339059327376,64,0.6962075714232722
GradientRule,0.5,true,0.1,64,1.8109049859636162
GradientRule,0.5,false,0.025,128,0.8239397752377947
GradientRule,0.5,true,0.1,128,1.9100987658915187
GradientRule,0.5,false,0.017677669529663688,256,1.010750086509752
GradientRule,0.5,false,0.0125,512,1.1226686273158657
GradientRule,0.5,true,0.1,256,1.6143321426774198
GradientRule,0.5,false,0.008838834764831844,1024,1.1463944067503395
GradientRule,0.5,true,0.1,512,1.250888335548111
GradientRule,0.5,false,0.00625,2048,1.1451848177093311
GradientRule,0.5,true,0.1,1024,1.0869383563794057
GradientRule,0.5,true,0.1,2048,1.0088530763177306
GradientRule,0.25,false,0.1,8,0.250737119148247
GradientRule,0.25,true,0.1,8,0.27706867489564846
GradientRule,0.25,false,0.05,32,0.5052742194204125
GradientRule,0.25,false,0.07071067811865475,16,0.4069800408034126
GradientRule,0.25,true,0.1,32,1.1652431294872239
GradientRule,0.25,true,0.1,16,0.6158163694146292
GradientRule,0.25,false,0.035355339059327376,64,0.7010994340853536
GradientRule,0.25,true,0.1,64,1.5509000949148022
GradientRule,0.25,false,0.025,128,0.8884463345784711
GradientRule,0.25,true,0.1,128,1.4817963752671206
GradientRule,0.25,false,0.017677669529663688,256,0.952971370867438
GradientRule,0.25,false,0.0125,512,1.01923653579706
GradientRule,0.25,true,0.1,256,1.4153498214566935
GradientRule,0.25,false,0.008838834764831844,1024,1.036376133100759
GradientRule,0.25,true,0.1,512,1.0863172690459861
GradientRule,0.25,false,0.00625,2048,1.0481564609390184
GradientRule,0.25,true,0.1,1024,1.0035503159263595
GradientRule,0.25,true,0.1,2048,1.0113908600112793
GradientRule,0.125,false,0.1,8,0.3247496760074272
GradientRule,0.125,true,0.1,8,0.29893876131083935
GradientRule,0.125,false,0.05,32,0.6801599774211395
GradientRule,0.125,false,0.07071067811865475,16,0.4720357078667376
GradientRule,0.125,true,0.1,32,1.1045876787846558
GradientRule,0.125,true,0.1,16,0.637447665085431
GradientRule,0.125,false,0.035355339059327376,64,0.7816179929512466
GradientRule,0.125,true,0.1,64,1.1808012860782566
GradientRule,0.125,false,0.025,128,0.9078621907646783
GradientRule,0.125,true,0.1,128,1.2962799895248331
GradientRule,0.125,false,0.017677669529663688,256,0.9589869393947132
GradientRule,0.125,false,0.0125,512,0.9785152139868285
GradientRule,0.125,true,0.1,256,1.1179756466008628
GradientRule,0.125,false,0.008838834764831844,1024,0.9987734997674185
GradientRule,0.125,true,0.1,512,1.0220389909735819
GradientRule,0.125,false,0.00625,2048,1.0008334412580921
GradientRule,0.125,true,0.1,1024,0.9828007995742365
GradientRule,0.125,true,0.1,2048,0.9917924363308017
GradientRule,0.0625,false,0.1,8,0.3984506459168284
GradientRule,0.0625,true,0.1,8,0.40600356651297886
GradientRule,0.0625,false,0.05,32,0.7148567393289228
GradientRule,0.0625,false,0.07071067811865475,16,0.5819132988375555
GradientRule,0.0625,true,0.1,32,0.9955408081648427
GradientRule,0.0625,true,0.1,16,0.7164618892728819
GradientRule,0.0625,false,0.035355339059327376,64,0.8821762768815846
GradientRule,0.0625,true,0.1,64,1.1692114433405472
GradientRule,0.0625,false,0.025,128,0.9359194925256891
GradientRule,0.0625,true,0.1,128,1.0737668790840815
GradientRule,0.0625,false,0.017677669529663688,256,0.9403958459519836
GradientRule,0.0625,false,0.0125,512,0.9811558991912448
