filter,sparse_input,beta,dim,mse
BlockSF,false,0.008838834764831844,1024,0.9325270552160424
BlockSF,true,0.1,512,0.9293767310158672
BlockSF,false,0.00625,2048,0.9543170792175746
BlockSF,true,0.1,1024,0.9646131113286718
BlockSF,true,0.1,2048,0.9872686504360683
FullSF,false,0.1,8,0.25103462131988485
FullSF,true,0.1,8,0.2456388671631192
FullSF,false,0.07071067811865475,16,0.31782799780224186
FullSF,false,0.05,32,0.4303170975585595
FullSF,true,0.1,16,0.35323512172462057
FullSF,true,0.1,32,0.5390998928067885
FullSF,false,0.035355339059327376,64,0.5812374506815489
FullSF,true,0.1,64,0.739595463441489
FullSF,false,0.025,128,0.6933207217115203
FullSF,true,0.1,128,0.8564878330747845
FullSF,false,0.017677669529663688,256,0.7907729640521873
FullSF,true,0.1,256,0.8714365420589189
FullSF,false,0.0125,512,0.8651635080946092
FullSF,true,0.1,512,0.9252505029306456
DiagSF,false,0.1,8,0.2687306748631517
DiagSF,true,0.1,8,0.28438578323820657
DiagSF,false,0.05,32,0.48526378617242144
DiagSF,false,0.07071067811865475,16,0.376881942000844
DiagSF,true,0.1,32,0.5339238928150501
DiagSF,false,0.035355339059327376,64,0.5780245077458529
DiagSF,true,0.1,16,0.41073345593856264
DiagSF,true,0.1,64,0.7665153446631787
DiagSF,false,0.025,128,0.6731525940073928
DiagSF,true,0.1,128,0.9318314567687757
DiagSF,false,0.017677669529663688,256,0.7966771812227775
DiagSF,false,0.0125,512,0.899851518679217
DiagSF,true,0.1,256,0.9337032527514386
DiagSF,false,0.008838834764831844,1024,0.9371889309773224
DiagSF,true,0.1,512,0.9010229358741847
DiagSF,false,0.00625,2048,0.9599388368515137
DiagSF,true,0.1,1024,0.9511541212567567
DiagSF,true,0.1,2048,0.9876953112817523
BlockSF,false,0.1,8,0.24165239343082184
BlockSF,true,0.1,8,0.23926733420484128
BlockSF,false,0.05,32,0.455779401897076
BlockSF,false,0.07071067811865475,16,0.34603036261289455
BlockSF,true,0.1,16,0.35073918134005205
BlockSF,true,0.1,32,0.5418066989062915
BlockSF,false,0.035355339059327376,64,0.5485769044863641
BlockSF,true,0.1,64,0.7313734423701871
BlockSF,false,0.025,128,0.7189648381146954
BlockSF,true,0.1,128,0.852429498180627
BlockSF,false,0.017677669529663688,256,0.801362674261994
BlockSF,false,0.0125,512,0.8813980682298997
BlockSF,true,0.1,256,0.8807284260894042
BlockSF,false,0.008838834764831844,1024,0.91150966300865
BlockSF,true,0.1,512,0.9268874528441379
BlockSF,false,0.00625,2048,0.9673180748428082
BlockSF,true,0.1,1024,0.9501644495236099
BlockSF,true,0.1,2048,0.9878015144837403
FullSF,false,0.1,8,0.22705770111218881
FullSF,true,0.1,8,0.24935983605530182
FullSF,false,0.05,32,0.4491524604505155
FullSF,false,0.07071067811865475,16,0.32800497793048106
FullSF,true,0.1,16,0.3680385964927884
FullSF,true,0.1,32,0.5470759060009942
FullSF,false,0.035355339059327376,64,0.5578857000375618
FullSF,true,0.1,64,0.7163753802885443
FullSF,false,0.025,128,0.6793586203235038
FullSF,true,0.1,128,0.8273505733829926
FullSF,false,0.017677669529663688,256,0.7569112817493988
FullSF,true,0.1,256,0.8819095285704286
FullSF,false,0.0125,512,0.862509417714118
FullSF,true,0.1,512,0.9154805107652384
FullSF,false,0.008838834764831844,1024,0.9306791667538106
DiagSF,false,0.1,8,0.25043575400884593
DiagSF,true,0.1,8,0.2625773789203652
DiagSF,false,0.05,32,0.46155662783185214
DiagSF,false,0.07071067811865475,16,0.36221780715837
DiagSF,true,0.1,32,0.569169079608163
DiagSF,false,0.035355339059327376,64,0.5943379729104206
DiagSF,true,0.1,16,0.39226552416097515
DiagSF,true,0.1,64,0.7301464407234691
DiagSF,false,0.025,128,0.6862324815299095
DiagSF,true,0.1,128,0.9302378472560299
DiagSF,false,0.017677669529663688,256,0.8063285334197127
DiagSF,false,0.0125,512,0.8694531991674243
DiagSF,true,0.1,256,0.9244173601625041
DiagSF,false,0.008838834764831844,1024,0.9231884520082214
DiagSF,false,0.00625,2048,0.9603816430946387
DiagSF,true,0.1,512,0.9177932022027726
DiagSF,true,0.1,1024,0.9536013680875515
DiagSF,true,0.1,2048,0.9973561723148584
BlockSF,false,0.1,8,0.23348804081468752
BlockSF,true,0.1,8,0.22580141681997914
BlockSF,false,0.05,32,0.44583610668014395
BlockSF,false,0.07071067811865475,16,0.32470211939478305
BlockSF,true,0.1,16,0.36332237233561093
BlockSF,true,0.1,32,0.5683887935147656
BlockSF,false,0.035355339059327376,64,0.5650662245389984
BlockSF,true,0.1,64,0.6914859663051527
BlockSF,false,0.025,128,0.7338680854989896
BlockSF,true,0.1,128,0.8367989154098856
